"soortnum";"wet_naam";"ned_naam";"aut_naam";"wet_naam_auteur";"lettcode";"familie";"genus";"soort";"syst_niv";"stlyst90";"flora_90";"status";"uhokn50";"uhokn80";"herkmst1";"herkmst2";"herkmst3";"ufk_40";"ufk_90";"uhokv50";"uhokv80";"lv_duur";"lv_vorm";"gr_vorm1";"gr_vorm2";"gr_vorm3";"anat_bld";"grn_bld";"vorm_bld";"hgt_min";"hgt_max";"hgt_extr";"gesl_blm";"blmkleur";"vr_type";"vr_kleur";"zaadmorf";"wrtldiep";"kiemtijd";"bgnbloei";"endbloei";"grondwtr";"lichtind";"temptind";"contiind";"vochtind";"zuurgind";"stiksind";"zout_ind";"zwareind";"maai_ind";"stro_min";"stro_max";"stro_ext";"oeco_grp";"ecol_grp";"transgr";"westhoff";"ellenbrg";"ecotp_01";"ecotp_02";"ecotp_03";"ecotp_04";"ecotp_05";"ecotp_06";"ecotp_07";"ecotp_08";"ecotp_09";"ecotp_10";"ecotpamp";"gebruik1";"gebruik2";"gebruik3";"gebruik4";"wett_bes";"redlist1";"redlist2";"bestuiv1";"bestuiv2";"bestuiv3";"zbestuiv";"plg_ligg";"plg_nord";"plg_west";"plg_midd";"plg_oost";"plg_z_o";"plg_zuid";"plg_fryk";"plg_amer";"plg_euro";"plg_azie";"plg_bron";"plg_noot";"plg_mont";"r_salinit";"r_alkalin";"r_dom_anio";"r_carbogeh";"r_trofiegr";"type";"selectie"
5113;"Polemonium caeruleum";"Jakobsladder";"L.";"Polemonium caeruleum L.";"POLEMCAE";" 95";" 1";" 1";" 2";"0";"1";"47";;;"103";"201";;;;;;"6";"H";"65";;;"42";"S";"vs";"  30";"  90";;"C";"C/A";"43";"o";" 1";;"12";" 6";" 8";;"6";"4";"5";" 7";"8";"6";"0";"0";"3";"9";"9";"9";"82";;;;"84330";;;;;;;;;;;;"30";;;;"0";;;"IH";;;"Z";;;;;;;;;;;;;;"sa";;;;;;"H";0
5114;"Pontederia cordata";"Moerashyacint";"L.";"Pontederia cordata L.";"PONTECOR";"123";" 1";" 1";" 2";"0";"1";"47";;;"300";;;;;;;"6";"B";"65";;;;;"ro";"  30";" 100";;"C";"C";"32";"o";;;;" 7";" 9";"2";;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"I";;;;;;;;;;;;;;;;;;;;;;;"H";0
5115;"Populus deltoides";"Amerikaanse populier";"Marshall";"Populus deltoides Marshall";"POPULDEL";" 19";" 2";" 7";" 2";"0";"1";"9";;;"301";;;;;;;"7";"P";"83";;;;"S";"ro";"1200";"2000";;"B";"O";"43";"o";" 8";;;" 4";" 4";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"24";;;;"0";;;"W";;;;;;;;;;;;;;;;;;;;;;;"H";0
5116;"Potamogeton x sparganifolius";"Drijvend x Ongelijkbladig fonteinkruid";"Fries";"Potamogeton x sparganifolius Fries";"POTAM*SP";"119";" 2";"13";" 8";"0";"1";"1";;;;;;;;;;"6";"A";"14";;;;"W";"lw";"  30";" 150";;"C";"O";"52";;;;;" 5";" 8";"1";;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5117;"Potentilla indica";"Schijnaardbei";"(Andrews) Wolf";"Potentilla indica (Andrews) Wolf";"POTENIND";" 50";" 9";" 8";" 2";"0";"1";"47";;;"209";;;;;;;"6";"H";"64";;;;;"hs";"   5";"  15";;"C";"F";"32";"o";;;;" 5";"10";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"I";;;;;;;;;;;;;;;;;;;;;;;"H";0
5118;"Prunus domestica subsp. insititia";"Kroosjes";"(L.) C.K.Schneider";"Prunus domestica subsp. insititia (L.) C.K.Schneider";"PRUNUD-I";" 50";"21";"10";" 4";"0";"1";"47";;;"256";;;;;;;"7";"P";"83";;;;"S";"lw";" 300";"1200";;"C";"A";"52";"m";" 4";;;"4";" 5";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"11";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5119;"Prunus domestica subsp. domestica";"Pruim s.s.";;"Prunus domestica subsp. domestica ";"PRUNUD-D";" 50";"21";" 9";" 4";"0";"1";"48";;;"256";;;;;;;"7";"P";"83";;;;"S";"lw";" 300";"1200";;"C";"A-V";"52";"m";" 4";;;"4";" 5";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"11";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5120;"Prunus mahaleb";"Weichselboom";"L.";"Prunus mahaleb L.";"PRUNUMAH";" 50";"21";" 1";" 2";"0";"1";"47";;;"103";"105";;;;;;"7";"P";"83";;;"40";"S";"ro";" 120";" 600";;"C";"A+R";"52";"n";" 4";;"52/53";"5";" 5";;"7";"7";"4";" 3";"8";"2";"0";"0";;"9";"9";"9";"84";;;;"84210";;;;;;;;;;;;"30";;;;"0";;;"I";;;;;;;;;;;;;;;;;;;;;;;"H";0
5121;"Puschkinia scilloides";"Buishyacint";"Adams";"Puschkinia scilloides Adams";"PUSCHSCI";"121";"21";" 1";" 2";"0";"0";"7";;;"109";"210";;;;;;"6";"G";"65";;;;"V";"ly";"  15";"  30";;"C";"C/A";"43";"o";" 1";;;"3";" 4";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"I";;;;;;;;;;;;;;;;;;;;;;;"H";0
5122;"Quercus cerris";"Moseik";"L.";"Quercus cerris L.";"QUERCCER";" 24";" 3";" 1";" 2";"0";"1";"7";;;"109";"202";;;;;;"7";"P";"82";;;"45";"S";"ve";"1600";"2000";;"A";"O";"32";"o";" 4";;;"5";" 5";;"6";"8";"4";" 4";"6";"X";"0";"0";;"9";"9";"9";;;;;"84200";;;;;;;;;;;;"99";;;;"0";;;"W";;;;;;;;;;;;;;;;;"mo";;;;;;"H";0
5123;"Quercus palustris";"Moeraseik";"Muenchhausen";"Quercus palustris Muenchhausen";"QUERCPAL";" 24";" 3";" 3";" 2";"0";"1";"7";;;"301";;;;;;;"7";"P";"82";;;;"S";"ve";"1000";"2500";;"A";"O";"32";"o";" 4";;;"5";" 5";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"W";;;;;;;;;;;;;;;;;;;;;;;"H";0
5124;"Reseda alba";"Witte reseda";"L.";"Reseda alba L.";"RESEDALB";" 45";" 1";" 3";" 2";"0";"0";"27";;;"105";"208";;;;;;"1/6";"H";"64";;;;;"ve";"  15";"  60";;"C";"A";"43";"o";;;"12";"6";"10";;;;;;;;;;;"9";"9";"9";;;"0";"12Bd";;;;;;;;;;;;;"99";;;;"0";;;"IH";;;;;;;;;;;;;;;;;;;;;;;"H";0
5125;"Rhododendron luteum";"Pontische azalea";"Sweet";"Rhododendron luteum Sweet";"RHODOLUT";" 85";" 3";" 2";" 2";"0";"0";"7";;;"104";"210";;;;;;"7";"P";"73";;;;"S";"lw";" 100";" 400";;"C";"F/U";"43";"o";;;;"5";" 6";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"IH";;;;;;;;;;;;;;;;;;;;;;;"H";0
5126;"Rhododendron x praecox";"Voorjaarsazalea";"Carriere";"Rhododendron x praecox Carriere";"RHODO*PR";" 85";" 3";" 3";" 8";"0";"0";"7";;;;;;;;;;"7";"P";"73";;;;"I";"ro";;" 150";;"C";"R:P";"43";"o";;;;"2";" 4";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5127;"Rhus radicans";"Gifsumak";"L.";"Rhus radicans L.";"RHUS RAD";" 59";" 1";" 1";" 2";"0";"1";"47";;;"301";;;;;;;"7";"PL";"31";;;;"S";"hs";"  60";" 250";;"D";"V+R";"52";"r";;;;"5";" 6";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"16";"17";;;"0";;;"I";;;;;;;;;;;;;;;;;;;;;;;"H";0
5128;"Rosa gallica";"Franse roos";"L.";"Rosa gallica L.";"ROSA GAL";" 50";" 5";" 6";" 2";"0";"1";"47";;;"103";"105";"202";;;;;"7";"PC";"72";;;"40";"S";"vs";"  30";" 120";;"C";"R";"62";"u";" 4";;;"5";" 7";;"7";"7";"4";" 4*";"7";"4";"0";"0";;"9";"9";"9";;;;;"80000";;;;;;;;;;;;"16";"23";;;"0";;;"I";"A";;"Z";;;;;;;;;;;;;;"mo";;;;;;"H";0
5129;"Rosa multiflora";"Veelbloemige roos";"Thunberg";"Rosa multiflora Thunberg";"ROSA MUL";" 50";" 5";" 2";" 2";"0";"1";"7";;;"204";;;;;;;"7";"P";"31";;;;"S";"vs";;" 200";;"C";"A";"62";"r";" 4";;"52/53";"6";" 7";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"I";"A";;"Z";;;;;;;;;;;;;;;;;;;;"H";0
5130;"Rosmarinus officinalis";"Rozemarijn";"L.";"Rosmarinus officinalis L.";"ROSMAOFF";"101";"20";" 1";" 2";"0";"1";"87";;;"105";"210";;;;;;"7";"P";"71";"73";;;"I";"ly";"  50";" 150";;"C";"C:P";"41";"o";;;;"4";" 6";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"14";"16";;;"0";;;"IH";;;;;;;;;;;;;;;;;;;;;;;"H";0
5131;"Rubus odoratus";"Roodbloeiende framboos";"L.";"Rubus odoratus L.";"RUBUSODO";" 50";" 4";" 1";" 2";"0";"1";"47";;;"301";;;;;;;"7";"P";"73";;;;"S";"vs";" 100";" 300";;"C";"R";"52";"r";" 4";;;"5";" 9";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"I";;;;;;;;;;;;;;;;;;;;;;;"H";0
5132;"Rubus phoenicolasius";"Japanse wijnbes";"Maximowicz";"Rubus phoenicolasius Maximowicz";"RUBUSPHO";" 50";" 4";" 5";" 2";"0";"1";"87";;;"204";;;;;;;"7";"H";"73";;;;"S";"vs";" 100";" 300";;"C";"R";"52";"r";" 4";;;"6";" 7";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"I";;;;;;;;;;;;;;;;;;;;;;;"H";0
5133;"Rubus spectabilis";"Prachtframboos";"Pursh";"Rubus spectabilis Pursh";"RUBUSSPE";" 50";" 4";" 3";" 2";"1";"1";"37";;;"301";;;"1";"3";;;"7";"H";"73";;;;"S";"vs";" 100";" 200";;"C";"R:P";"52";"u";" 4";;;"3";" 5";;;;;;;;;;;"9";"9";"9";"93";;;;;"H47";;;;;;;;;;"1";"99";;;;"0";;;"I";;;;"b";"0";"1";"0";"0";"0";"0";"A";"*";".";".";"6";"CF";;;;;;;"H";0
5134;"Rudbeckia hirta";"Ruige rudbeckia";"L.";"Rudbeckia hirta L.";"RUDBEHIR";"113";"15";" 2";" 2";"0";"1";"47";;;"301";;;;;;;"1";"T";"64";;;;"S";"lc";"  50";" 120";;"D";"F+B";"32";"o";" 1";;;"7";" 9";;"8";"7";"5";" 4";"8";"5";"0";"0";;"9";"9";"9";"17";;;;;;;;;;;;;;;;"99";;;;"0";;;"I";;;"Z";;;;;;;;;;;;;;;;;;;;"H";0
5135;"Rumex rugosus";"Tuinzuring";"Campdera";"Rumex rugosus Campdera";"RUMEXRUG";" 32";" 4";" 4";" 2";"0";"1";"48";;;"  4";;;;;;;"6";"H";"65";;;;;"lw";"  30";" 100";;"B";"O";"32";"o";" 1";;;"7";" 8";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;" 6";;;;"0";;;"W";;;"Z";;;;;;;;;;;;;;;;;;;;"H";0
5136;"Salix x mollissima";"Amandelwilg x Katwilg";"Elwert.";"Salix x mollissima Elwert.";"SALIX*MO";" 19";" 1";" 6";" 8";"0";"1";"19";;;;;;;;;;"7";"P";"73";;;;"S";"lc";" 150";" 400";;"B";"O";"43";"o";;;;"3";" 5";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5137;"Salix x rubra";"Bittere wilg x Katwilg";"Hudson";"Salix x rubra Hudson";"SALIX*RU";" 19";" 1";" 3";" 8";"0";"1";"19";;;;;;;;;;"7";"P";"73";;;;"S";"lc";" 600";"2000";;"B";"O";"43";"o";;;;"4";" 5";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5138;"Salix x sericans";"Boswilg x Katwilg";"A.Kerner";"Salix x sericans A.Kerner";"SALIX*SE";" 19";" 1";"13";" 8";"0";"1";"9";;;;;;;;;;"7";"P";"73";;;;"S";"lw";" 150";" 900";;"B";"O";"43";"o";;;;"3";" 4";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5139;"Sambucus canadensis";"Amerikaanse vlier";"L.";"Sambucus canadensis L.";"SAMBUCAN";"108";" 1";" 5";" 2";"0";"1";"47";;;"301";;;;;;;"7";"P";"73";;;;"S";"vs";" 200";" 350";;"C";"A";"52";"p";" 4";;;"6";" 7";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"I";;;;;;;;;;;;;;;;;;;;;;;"H";0
5140;"Satureja hortensis";"Bonekruid";"L.";"Satureja hortensis L.";"SATURHOR";"101";"14";" 1";" 2";"0";"1";"8";;;"105";;;;;;;"1";"T";"65";;;;"S";"lc";"  10";"  35";;"C";"R/A";"41";"o";" 1";;;"7";"13";"7";;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"14";"16";"30";;"0";;;"I";;;;;;;;;;;;;;;;;;;;;;;"H";0
5141;"Scorzonera hispanica";"Grote schorseneer";"L.";"Scorzonera hispanica L.";"SCORZHIS";"113";"51";" 2";" 2";"0";"1";"48";;;"105";;;;;;;"6";"H";"63";;;"45";"S";"lc";"  60";" 120";;"C";"F";"32";"o";" 8";;;"5";" 7";;"7";"7";"6";" 4*";"8";"3";"0";"0";;"9";"9";"9";;;;;"53120";;;;;;;;;;;;" 7";;;;"0";;;"I";;;"Z";;;;;;;;;;;;;;;;;;;;"H";0
5142;"Sedum dasyphyllum";"Dik vetkruid";"L.";"Sedum dasyphyllum L.";"SEDUMDAS";" 47";" 3";" 9";" 2";"0";"1";"4";;;"103";"110";;;;;;"6";"C";"65";;;"60";"W";"ro";"   4";"  12";;"C";"A+P";"43";"o";" 1";;;"6";" 8";;"7";"X";"2";" 3";"X";"?";"0";"0";;"9";"9";"9";"61";;;;"42000";;;;;;;;;;;;"99";;;;"0";;;"I";;;;;;;;;;;;;;;;;"sa";;;;;;"H";0
5143;"Sempervivum tectorum";"Donderblad";"L.";"Sempervivum tectorum L.";"SEMPETEC";" 47";" 2";" 1";" 2";"0";"1";"7";;;"100";;;;;;;"6";"C";"64";;;"60";"W";"ro";"  20";"  45";;"C";"R";"43";"o";" 1";;"12   ?";"7";" 8";"7";"8";"X";"2";" 2";"4";"X";"0";"0";;"9";"9";"9";"61";;;;"52000";;;;;;;;;;;;"16";;;;"0";;;"I";;;"Z";;;;;;;;;;;;;;"al";;;;;;"H";0
5144;"Silene coeli-rosa";"Hemelroosje";"(L.) Godron";"Silene coeli-rosa (L.) Godron";"SILENCOE";" 37";"18";"12";" 2";"0";"0";"47";;;"108";;;;;;;"1";"T";"65";;;;"S";"lc";"  20";"  40";;"C";"P";"43";"o";" 1";;;"7";" 8";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"IL";;;;;;;;;;;;;;;;;;;;;;;"H";0
5145;"Smilacina stellata";"Troslelietje";"(L.) Desfontaines";"Smilacina stellata (L.) Desfontaines";"SMILASTE";"121";"18";" 1";" 2";"0";"0";"47";;;"301";;;;;;;"6";"G";"62";;;;;"lw";"  20";"  60";;"C";"A";"51";"n";" 4";;;"5";" 6";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5146;"Sorbus aria";"Meelbes";"(L.) Crantz";"Sorbus aria (L.) Crantz";"SORBUARI";" 50";"15";" 2";" 2";"0";"1";"47";;;"103";"102";;;;;;"7";"P";"82";;;"54";"S";"ro";" 500";"2000";;"D";"A";"53";"r";" 4";;"12";"5";" 6";;"6";"5";"2";" 4";"7";"3";"0";"0";;"9";"9";"9";"84";;;;"80000";;;;;;;;;;;;"99";;;;"0";;;"I";"A";;;;;;;;;;;;;;;;"mo";;;;;;"H";0
5147;"Sorbus x thuringiaca";"Gedeelde meelbes";"(Ilse) Fritsch";"Sorbus x thuringiaca (Ilse) Fritsch";"SORBU*TH";" 50";"15";" 3";" 8";"0";"1";"47";;;;;;;;;;"7";"P";"83";;;;"S";"ve";" 200";"2000";;"C";"A";"53";"r";" 4";;;"5";" 6";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5148;"Spinacia oleracea";"Spinazie";"L.";"Spinacia oleracea L.";"SPINAOLE";" 33";" 3";" 1";" 2";"0";"1";"48";;;"202";;;;;;;"1+8";"T";"65";;;;;"lw";"  30";"  45";;"B";"O/F";"32";"o";" 1";;;"6";" 9";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;" 6";;;;"0";;;;;;"Z";;;;;;;;;;;;;;;;;;;;"H";0
5149;"Spiraea chamaedrifolia";"Iepspirea";"L.";"Spiraea chamaedrifolia L.";"SPIRACHA";" 50";" 1";" 5";" 2";"0";"1";"47";;;"109";"200";;;;;;"7";"P";"73";;;;"S";"lw";"  50";" 200";;"C";"A";"43";"o";;;;"5";" 7";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"I";;;;;;;;;;;;;;;;;;;;;;;"H";0
5150;"Spiraea x billardii";"Theeboompje x Douglasspirea";"Henrinq";"Spiraea x billardii Henrinq";"SPIRA*BI";" 50";" 1";" 2";" 8";"0";"1";"4";;;;;;;;;;"7";"P";"73";;;;"S";"lw";;;;"C";"A-R";"43";"o";;;;"7";" 9";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5151;"Thalictrum aquilegifolium";"Akeleiruit";"L.";"Thalictrum aquilegifolium L.";"THALIAQU";" 40";"15";" 1";" 2";"0";"1";"47";;;"103";"104";;;;;;"6";"H";"65";;;"24";"S";"vm";"  60";" 120";;"C";"P/A";"32";"o";;;;"5";" 6";;"5";"X";"4";" 8=";"7";"7";"0";"0";"3";"9";"9";"9";;;;;"84330";;;;;;;;;;;;"99";;;;"0";;;"I";"W";;"Z";;;;;;;;;;;;;;"sa";;;;;;"H";0
5152;"Thymus vulgaris";"Echte tijm";"L.";"Thymus vulgaris L.";"THYMUVUL";"101";"17";" 1";" 2";"0";"1";"8";;;"105";;;;;;;"7";"C";"71";;;;"I";"lw";"  15";"  20";;"C";"PAR";"41";"o";;;;"5";" 6";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"14";"16";"30";;"0";;;"IH";;;;;;;;;;;;;;;;;;;;;;;"H";0
5153;"Triticum spelta";"Spelt";"L.";"Triticum spelta L.";"TRITISPE";"126";"22";" 2";" 2";"0";"1";"8";;;"103";;;;;;;"1";"T";"54";;;;"S";"ly";"  60";" 140";;"C";"O";"31";"o";" 1";;;"6";" 6";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;" 1";;;;"0";;;"W";;;;;;;;;;;;;;;;;"sm";;;;;;"H";0
5154;"Ulmus laevis";"Fladderiep";"Pallas";"Ulmus laevis Pallas";"ULMUSLAE";" 25";" 1";" 1";" 2";"1";"1";"39";;;;;;"2";"2";;;"7";"P";"83";;;"40";"S";"lw";;"3500";;"C";"V";"32";"o";" 9";;;"3";" 4";"5";"4";"6";"5";" 8=";"7";"7";"0";"0";;"9";"9";"9";"93";;;;"84330";"H27";"H47";"H67";;;;;;;;"2";"99";;;;"0";;;"W";;;;"m";"1";"+";"3";"4";"2";"+";"A";".";"*";"*";"123";"X";"co";;;;;;"H";0
5155;"Vaccinium corymbosum";"Trosbosbes";"L.";"Vaccinium corymbosum L.";"VACCICOR";" 85";" 6";" 2";" 2";"1";"1";"38";;;"301";;;"1";"3";;;"7";"ZP";"73";;;;"S";"ro";;" 400";;"C";"A";"51";"c";" 4";;;"5";" 7";;;;;;;;;;;"9";"9";"9";"74";;;;;"H21";"G21";;;;;;;;;"1";"11";"30";;;"0";;;"I";;;;"b";"0";"1";"0";"0";"0";"0";"A";"*";".";".";"6";"X";;;;;;;"H";0
5156;"Vicia grandiflora";"Grote wikke";"Scopoli";"Vicia grandiflora Scopoli";"VICIAGRA";" 51";"12";"17";" 2";"0";"0";"2";;;"105";;;;;;;"1";"TL";"31";;;;"S";"vs";"  20";"  50";;"C";"F";"43";"o";" 1";;;"5";" 7";;"7";"7";"6";" 4";"X";"X";"0";"0";;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"IH";;;;;;;;;;;;;;;;;;;;;;;"H";0
5157;"Vicia hybrida";"Basterdwikke";"L.";"Vicia hybrida L.";"VICIAHYB";" 51";"12";"18";" 2";"0";"0";"2";;;"105";;;;;;;"1";"TL";"31";;;;"S";"vs";"  20";"  30";;"C";"F/P";"43";"o";" 1";;;"5";" 7";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"IH";;;;;;;;;;;;;;;;;;;;;;;"H";0
5158;"Vincetoxicum nigrum";"Zwarte engbloem";"(L.) Moench";"Vincetoxicum nigrum (L.) Moench";"VINCENIG";" 93";" 1";" 2";" 2";"1";"1";"3";;;"108";;;"0";"1";;;"6";"HL";"65";;;;"S";"lw";"  40";"  80";;"C";"P";"43";"o";" 8";;;"5";" 8";;;;;;;;;;;"9";"9";"9";"84";;;;;"H63";;;;;;;;;;"1";"99";;;;"0";;;"ID";;;;"v";"0";"2";"0";"0";"0";"2";"A";".";"*";".";"6";"D";"co";;;;;;"H";0
5159;"Vulpia fasciculata";"Dicht langbaardgras";"(Forskal) Fritsch";"Vulpia fasciculata (Forskal) Fritsch";"VULPIFAS";"126";" 5";" 1";" 2";"1";"1";"32";;;"100";;;"0";"2";;;"1";"T";"54";;;;"S";"ly";"   8";"  50";;"C";"O";"31";"o";" 1";;"32";"5";" 7";;;;;;;;;;;"9";"9";"9";"62";;;;;;;;;;;;;;;;"99";;;;"0";;;"W";"K";;"Z";"m";"0";"2";"0";"0";"+";"4";"A";".";"*";".";"6";"X";"pl";;;;;;"H";0
5160;"Xanthium orientale var. riparium";"Var. riparium v. Oeverstekelnoot";"(Itzigsohn & Hertsch) Adema & M.T.Jansen";"Xanthium orientale var. riparium (Itzigsohn & Hertsch) Adema & M.T.Jansen";"XANTHO;R";"113";"19";" 5";" 5";"0";"0";"32";;;"300";;;;;;;"1";"T";"65";;;"50";"S";"ro";"  30";"  90";;"A";"V";"32";"o";" 6";;"13";"7";" 8";"5";"8";"6";"4";" 8=";"7";"7";"0";"0";;"9";"9";"9";;;;;"32120";;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5161;"Xanthium orientale var. albinum";"Var. albinum v. Oeverstekelnoot";"(Widder) Adema & M.T.Jansen";"Xanthium orientale var. albinum (Widder) Adema & M.T.Jansen";"XANTHO;A";"113";"19";" 4";" 5";"0";"0";"32";;;"300";;;;;;;"1";"T";"65";;;"50";"S";"ro";"  30";"  90";;"A";"V";"32";"o";" 6";;;"7";" 8";"5";"8";"6";"4";" 8=";"7";"7";"0";"0";;"9";"9";"9";;;;;"32120";;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5162;"Ballota nigra subsp. nigra";"Echte ballote";;"Ballota nigra subsp. nigra ";"BALLON-N";"101";" 9";" 3";" 4";"0";"1";"2";;;"103";"104";;;;;;"6";"H";"65";;;"40";"W";"ro";"  60";"  90";;"C";"R";"41";"o";" 1";;;"6";"13";"7";"8";"6";"5";" 5";"X";"8";"0";"0";;"9";"9";"9";;;;;"35110";;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5163;"Hieracium praealtum";"Grijs havikskruid";"Gochnat";"Hieracium praealtum Gochnat";"HIERAPRA";"113";"60";" 5";" 2";"1";"1";"6";;;"  5";;;"3";"4";;;"6";"H";"64";;;;"W";"lc";"  20";"  80";;"C";"F";"32";"o";" 8";;;" 5";" 8";"7";"9";"7";"4";" 3";"7";"1";"0";"0";;"9";"9";"9";"63";;;;;"G62";;;;;;;;;;"1";"99";;;;"0";;;"I";;;;"m";"1";"+";"4";"3";"3";"1";"A";".";"*";".";"6";"X";"mo";;;;;;"H";0
5164;"Hordelymus europaeus";"Bosgerst";"(L.) Harz";"Hordelymus europaeus (L.) Harz";"HORDLEUR";"126";"25";" 1";" 2";"0";"1";"1";;;"114";"256";"450";;;;;"6";"H";"53";;;"40";"W";"ly";"  40";" 120";;"C";"O";"31";"o";" 1";;;" 6";" 7";;"4";"5";"4";" 5";"7";"6";"0";"0";;"9";"9";"9";"90";;;;"84310";;;;;;;;;;;;"99";;;;"0";;;"W";;;;;;;;;;;;;;;;;"mo";;;;;;"H";0
5166;"Spiraea alba";"Witte spirea";"Duroi";"Spiraea alba Duroi";"SPIRAALB";" 50";" 1";" 6";" 2";"0";"0";"47";;;"301";;;;;;;"7";"P";"73";;;;"S";"lw";"  50";" 200";;"C";"A/R";"43";"o";;;;"6";" 8";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;"I";;;;;;;;;;;;;;;;;;;;;;;"H";0
5167;"Salix x reichardtii";"Boswilg x Grauwe wilg";"A.Kerner";"Salix x reichardtii A.Kerner";"SALIX*RE";" 19";" 1";"16";" 8";"0";"1";"1";;;;;;;;;;"7";"P";"73";;;;"S";"lw";" 200";" 600";"1000";"B";"O";"43";"o";;;;"3";" 4";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5168;"Colutea x media";"Bastaard blazenstruik";"Willdenow";"Colutea x media Willdenow";"COLUT*ME";" 51";" 7";" 3";" 8";"0";"1";"7";;;;;;;;;;"7";"P";"73";;;;"S";"vs";" 120";" 450";;"C";"M";"43";"o";" 7";;;"6";" 8";;;;;;;;;;;"9";"9";"9";;;;;;;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
5169;"Asplenium trichomanes subsp. quadrivalens";"Subsp. quadrivalens v. Steenbreekvaren";"D.E.Meyer";"Asplenium trichomanes subsp. quadrivalens D.E.Meyer";"ASPLET-Q";"  8";" 1";" 3";" 4";"0";"0";"1";;;"  1";;;;;;;"6";"H";"63";;;"43";"I";"vs";"   5";"  35";;"E";"O";"11";"o";"11";;;"6";" 9";"7";"5";"X";"3";" 5";"X";"3";"0";"0";;"9";"9";"9";"61";;;;"42000";;;;;;;;;;;;"99";;;;"0";;;;;;;;;;;;;;;;;;;;;;;;;;"H";0
