"scientname_hill";"scientname_belgium";"status";"BRC";"LO";"LOopm";"L";"Lopm";"FO";"FOopm";"F";"Fopm";"RO";"ROopm";"R";"Ropm";"NO";"NOopm";"N";"Nopm";"SO";"SOopm";"S";"Sopm";"LOtext";"Ltext";"Ltexts";"FOtext";"Ftext";"Ftexts";"ROtext";"Rtext";"Rtexts";"NOtext";"Ntext";"Ntexts";"SOtext";"Stext";"Stexts";"Id_Hill"
"Schoenus ferrugineus";"Schoenus ferrugineus L.";;"1854";9,00;;8,00;;8,00;;9,00;;7,00;;7,00;;2,00;;2,00;;0,00;;0,00;;"9";8,00;;"8";9,00;;"7";7,00;;"2";2,00;;"0";0,00;;1477
"Schoenus nigricans";"Schoenus nigricans L.";;"1855";9,00;;8,00;;9,00;;8,00;;9,00;;7,00;"+";2,00;;2,00;;1,00;;0,00;;"9";8,00;;"9";8,00;;"9";7,00;"+";"2";2,00;;"1";0,00;;1478
"Scilla autumnalis";;;"1856";;"–";9,00;;;"–";3,00;;;"–";6,00;;;"–";1,00;;;"–";0,00;"+";"–";9,00;;"–";3,00;;"–";6,00;;"–";1,00;;"–";0,00;"+";1479
"Scilla verna";;;"1857";;"–";8,00;;;"–";5,00;;;"–";5,00;;;"–";3,00;;;"–";3,00;"+";"–";8,00;;"–";5,00;;"–";5,00;;"–";3,00;;"–";3,00;"+";1480
"Scirpoides holoschoenus";"Scirpus holoschoenus L.";;"985";8,00;;8,00;"°";8,00;;8,00;"°";7,00;;7,00;"°";8,00;;6,00;"+";0,00;;0,00;"°";"8";8,00;"3";"8";8,00;"3";"7";7,00;"3";"8";6,00;"+";"0";0,00;"3";1481
"Scirpus sylvaticus";"Scirpus sylvaticus L.";;"1861";6,00;;6,00;;8,00;;8,00;;4,00;;6,00;"!";4,00;;6,00;"!";0,00;;0,00;;"6";6,00;;"8";8,00;;"4";6,00;"7";"4";6,00;"7";"0";0,00;;1482
"Scleranthus annuus";"Scleranthus annuus L.";;"1862";6,00;;7,00;;5,00;;4,00;;2,00;;4,00;"+";5,00;;4,00;;0,00;;0,00;;"6";7,00;;"5";4,00;;"2";4,00;"+";"5";4,00;;"0";0,00;;1483
"Scleranthus perennis";"Scleranthus perennis L.";;"1863";8,00;;8,00;;2,00;;3,00;;4,00;;4,00;;1,00;;2,00;;0,00;;0,00;;"8";8,00;;"2";3,00;;"4";4,00;;"1";2,00;;"0";0,00;;1484
"Scorzonera humilis";"Scorzonera humilis L.";;"1864";7,00;;8,00;"+";7,00;;7,00;"°";5,00;;5,00;"°";2,00;;2,00;"°";0,00;;0,00;"°";"7";8,00;"+";"7";7,00;"3";"5";5,00;"3";"2";2,00;"3";"0";0,00;"3";1485
"Scrophularia auriculata";"Scrophularia auriculata L.";;"1865";8,00;;7,00;;9,00;;8,00;;6,00;;7,00;;7,00;;7,00;;0,00;;0,00;;"8";7,00;;"9";8,00;;"6";7,00;;"7";7,00;;"0";0,00;;1486
"Scrophularia nodosa";"Scrophularia nodosa L.";;"1867";4,00;;5,00;;6,00;;6,00;;6,00;;7,00;;7,00;;6,00;;0,00;;0,00;;"4";5,00;;"6";6,00;;"6";7,00;;"7";6,00;;"0";0,00;;1487
"Scrophularia scorodonia";;;"1868";;"–";7,00;"+";;"–";4,00;"+";;"–";6,00;"+";;"–";6,00;"+";;"–";0,00;;"–";7,00;"+";"–";4,00;"+";"–";6,00;"+";"–";6,00;"+";"–";0,00;;1488
"Scrophularia umbrosa";"Scrophularia umbrosa Dum.";;"1869";7,00;;7,00;"°";9,00;;9,00;"°";8,00;;7,00;"+";7,00;;7,00;"°";0,00;;0,00;"°";"7";7,00;"3";"9";9,00;"3";"8";7,00;"+";"7";7,00;"3";"0";0,00;"3";1489
"Scrophularia vernalis";"Scrophularia vernalis L.";1,00;"1870";5,00;;5,00;"°";5,00;;5,00;"°";7,00;;7,00;"°";7,00;;7,00;"°";;"•";0,00;;"5";5,00;"3";"5";5,00;"3";"7";7,00;"3";"7";7,00;"3";"•";0,00;;1490
"Scutellaria galericulata";"Scutellaria galericulata L.";;"1872";7,00;;7,00;;9,00;;8,00;;7,00;;6,00;;6,00;;5,00;;0,00;;0,00;;"7";7,00;;"9";8,00;;"7";6,00;;"6";5,00;;"0";0,00;;1491
"Scutellaria minor";"Scutellaria minor Huds.";;"1874";7,00;;7,00;;9,00;;9,00;;2,00;;4,00;"!";3,00;;2,00;;0,00;;0,00;;"7";7,00;;"9";9,00;;"2";4,00;"7";"3";2,00;;"0";0,00;;1492
"Secale cereale";"Secale cereale L.";1,00;"4369";;"–";8,00;;;"–";5,00;;;"–";7,00;;;"–";7,00;;;"–";0,00;;"–";8,00;;"–";5,00;;"–";7,00;;"–";7,00;;"–";0,00;;1493
"Sedum acre";"Sedum acre L.";;"1875";8,00;;8,00;;2,00;;2,00;"+";;"•";7,00;;1,00;;2,00;;1,00;;1,00;"+";"8";8,00;;"2";2,00;"+";"•";7,00;;"1";2,00;;"1";1,00;"+";1494
"Sedum album";"Sedum album L.";2,00;"1876";9,00;;8,00;;2,00;;3,00;;;"•";6,00;;1,00;;2,00;;0,00;;0,00;;"9";8,00;;"2";3,00;;"•";6,00;;"1";2,00;;"0";0,00;;1495
"Sedum anglicum";;;"1877";;"–";8,00;;;"–";3,00;"+";;"–";4,00;;;"–";2,00;;;"–";1,00;;"–";8,00;;"–";3,00;"+";"–";4,00;;"–";2,00;;"–";1,00;;1496
"Sedum forsterianum";"Sedum forsterianum Smith";;"1879";8,00;;7,00;;3,00;;3,00;"+";4,00;;5,00;;1,00;;1,00;;0,00;;0,00;;"8";7,00;;"3";3,00;"+";"4";5,00;;"1";1,00;;"0";0,00;;1497
"Sedum rosea";;;"1882";7,00;;7,00;;6,00;;6,00;;4,00;;6,00;"!";;"•";3,00;;0,00;;0,00;"+";"7";7,00;;"6";6,00;;"4";6,00;"7";"•";3,00;;"0";0,00;"+";1498
"Sedum rupestre";"Sedum rupestre L.";1,00;"1881";7,00;;7,00;"°";2,00;;2,00;"°";5,00;;5,00;"°";1,00;;4,00;"+";;"•";0,00;;"7";7,00;"3";"2";2,00;"3";"5";5,00;"3";"1";4,00;"+";"•";0,00;;1499
"Sedum telephium";"Sedum telephium L.";;"1885";7,00;;7,00;;4,00;;5,00;;7,00;;7,00;;;"•";5,00;;0,00;;1,00;;"7";7,00;;"4";5,00;;"7";7,00;;"•";5,00;;"0";1,00;;1500
"Sedum villosum";"Sedum villosum L.";;"1886";9,00;;8,00;;9,00;;9,00;;4,00;;6,00;"!";1,00;;2,00;"+";0,00;;0,00;;"9";8,00;;"9";9,00;;"4";6,00;"7";"1";2,00;"+";"0";0,00;;1501
"Selaginella selaginoides";;;"1888";8,00;;8,00;;7,00;;7,00;;7,00;;6,00;"+";3,00;;2,00;;0,00;;0,00;;"8";8,00;;"7";7,00;;"7";6,00;"+";"3";2,00;;"0";0,00;;1502
"Selinum carvifolia";"Selinum carvifolia (L.) L.";;"1889";7,00;;7,00;"°";7,00;;7,00;"°";5,00;;8,00;"+";3,00;;4,00;"+";0,00;;0,00;"°";"7";7,00;"3";"7";7,00;"3";"5";8,00;"+";"3";4,00;"+";"0";0,00;"3";1503
"Sempervivum tectorum";"Sempervivum tectorum L.";1,00;"1890";8,00;;8,00;"°";2,00;;2,00;"°";4,00;;4,00;"°";;"•";1,00;"+";0,00;;0,00;"°";"8";8,00;"3";"2";2,00;"3";"4";4,00;"3";"•";1,00;"+";"0";0,00;"3";1504
"Senecio aquaticus";"Senecio aquaticus Hill";;"1891";7,00;;7,00;;8,00;;8,00;;4,00;;6,00;"!";5,00;;5,00;;0,00;;0,00;;"7";7,00;;"8";8,00;;"4";6,00;"7";"5";5,00;;"0";0,00;;1505
"Senecio cambrensis";;3,00;"2294";;"–";8,00;"+";;"–";5,00;"+";;"–";7,00;"+";;"–";7,00;"+";;"–";0,00;;"–";8,00;"+";"–";5,00;"+";"–";7,00;"+";"–";7,00;"+";"–";0,00;;1506
"Senecio cineraria";"Senecio cineraria DC.";1,00;"1892";;"–";9,00;"+";;"–";3,00;"+";;"–";7,00;"+";;"–";3,00;"+";;"–";3,00;"+";"–";9,00;"+";"–";3,00;"+";"–";7,00;"+";"–";3,00;"+";"–";3,00;"+";1507
"Senecio erucifolius";"Senecio erucifolius L.";;"1896";8,00;;7,00;;3,00;;5,00;"!";8,00;;7,00;;4,00;;5,00;;0,00;;0,00;;"8";7,00;;"3";5,00;"7";"8";7,00;;"4";5,00;;"0";0,00;;1508
"Senecio fluviatilis";"Senecio sarracenicus L.";1,00;"1897";7,00;;7,00;"°";9,00;;8,00;"+";7,00;;6,00;"+";8,00;;7,00;"+";0,00;;0,00;"°";"7";7,00;"3";"9";8,00;"+";"7";6,00;"+";"8";7,00;"+";"0";0,00;"3";1509
"Senecio jacobaea";"Senecio jacobaea L.";;"1899";8,00;;7,00;;4,00;;4,00;;7,00;;6,00;;5,00;;4,00;;0,00;;0,00;;"8";7,00;;"4";4,00;;"7";6,00;;"5";4,00;;"0";0,00;;1510
"Senecio paludosus";"Senecio paludosus L.";;"1900";7,00;;7,00;"°";9,00;;9,00;"°";;"•";7,00;"+";6,00;;6,00;"°";0,00;;0,00;"°";"7";7,00;"3";"9";9,00;"3";"•";7,00;"+";"6";6,00;"3";"0";0,00;"3";1511
"Senecio smithii";;1,00;"4436";;"–";8,00;;;"–";7,00;"+";;"–";6,00;"+";;"–";7,00;"+";;"–";0,00;;"–";8,00;;"–";7,00;"+";"–";6,00;"+";"–";7,00;"+";"–";0,00;;1512
"Senecio squalidus";"Senecio squalidus L.";1,00;"1902";8,00;;8,00;;5,00;;4,00;;7,00;;7,00;;8,00;;7,00;;0,00;;0,00;;"8";8,00;;"5";4,00;;"7";7,00;;"8";7,00;;"0";0,00;;1513
"Senecio sylvaticus";"Senecio sylvaticus L.";;"1903";8,00;;7,00;;5,00;;5,00;;5,00;;5,00;;8,00;;6,00;"+";0,00;;0,00;;"8";7,00;;"5";5,00;;"5";5,00;;"8";6,00;"+";"0";0,00;;1514
"Senecio viscosus";"Senecio viscosus L.";;"1904";8,00;;8,00;;3,00;;5,00;"!";;"•";7,00;;4,00;;6,00;"!";0,00;;1,00;;"8";8,00;;"3";5,00;"7";"•";7,00;;"4";6,00;"7";"0";1,00;;1515
"Senecio vulgaris";"Senecio vulgaris L.";;"1905";7,00;;7,00;;5,00;;5,00;;;"•";7,00;;8,00;;7,00;"+";0,00;;0,00;;"7";7,00;;"5";5,00;;"•";7,00;;"8";7,00;"+";"0";0,00;;1516
"Seriphidium maritimum";;;"172";9,00;;9,00;;5,00;;7,00;"!";;"•";8,00;;7,00;;6,00;;5,00;;5,00;"+";"9";9,00;;"5";7,00;"7";"•";8,00;;"7";6,00;;"5";5,00;"+";1517
"Serratula tinctoria";"Serratula tinctoria L.";;"1906";6,00;;7,00;"+";;"•";6,00;;7,00;;6,00;;3,00;;2,00;;0,00;;0,00;;"6";7,00;"+";"•";6,00;;"7";6,00;;"3";2,00;;"0";0,00;;1518
"Seseli libanotis";"Seseli libanotis (L.) Koch";;"1907";7,00;;7,00;;3,00;;4,00;;8,00;;8,00;"+";2,00;;3,00;"+";0,00;;0,00;;"7";7,00;;"3";4,00;;"8";8,00;"+";"2";3,00;"+";"0";0,00;;1519
"Sesleria caerulea";"Sesleria caerulea (L.) Ard.";;"1908";8,00;;7,00;;8,00;;6,00;"+";8,00;;8,00;"+";2,00;;2,00;;0,00;;0,00;;"8";7,00;;"8";6,00;"+";"8";8,00;"+";"2";2,00;;"0";0,00;;1520
"Sherardia arvensis";"Sherardia arvensis L.";;"1912";6,00;;7,00;;4,00;;4,00;;7,00;;6,00;;5,00;;4,00;;0,00;;0,00;;"6";7,00;;"4";4,00;;"7";6,00;;"5";4,00;;"0";0,00;;1521
"Sibbaldia procumbens";;;"1913";7,00;;8,00;;7,00;;5,00;"!";2,00;;4,00;"!";4,00;;3,00;;0,00;;0,00;;"7";8,00;;"7";5,00;"7";"2";4,00;"7";"4";3,00;;"0";0,00;;1522
"Sibthorpia europaea";;;"1914";;"–";5,00;;;"–";7,00;"+";;"–";5,00;"+";;"–";5,00;"+";;"–";0,00;;"–";5,00;;"–";7,00;"+";"–";5,00;"+";"–";5,00;"+";"–";0,00;;1523
"Silaum silaus";"Silaum silaus (L.) Schinz et Thell.";;"1916";7,00;;8,00;;;"•";5,00;;7,00;;7,00;;3,00;;4,00;"+";0,00;;0,00;;"7";8,00;;"•";5,00;;"7";7,00;;"3";4,00;"+";"0";0,00;;1524
"Silene acaulis";;;"1917";9,00;;8,00;;4,00;;5,00;;8,00;;6,00;"+";1,00;;1,00;"+";0,00;;0,00;;"9";8,00;;"4";5,00;;"8";6,00;"+";"1";1,00;"+";"0";0,00;;1525
"Silene conica";"Silene conica L.";;"1921";9,00;;8,00;;2,00;;3,00;;5,00;;4,00;;2,00;;2,00;;0,00;;0,00;;"9";8,00;;"2";3,00;;"5";4,00;;"2";2,00;;"0";0,00;;1526
"Silene dioica";"Silene dioica (L.) Clairv.";;"1259";;"•";5,00;;6,00;;6,00;;7,00;;6,00;;8,00;;7,00;;0,00;;0,00;;"•";5,00;;"6";6,00;;"7";6,00;;"8";7,00;;"0";0,00;;1527
"Silene gallica";"Silene gallica L.";;"1918";7,00;;7,00;;4,00;;4,00;;7,00;;5,00;"!";6,00;;5,00;;0,00;;0,00;;"7";7,00;;"4";4,00;;"7";5,00;"7";"6";5,00;;"0";0,00;;1528
"Silene latifolia";"Silene latifolia Poiret subsp. alba (Mill.) Greuter et Burdet";;"1258";8,00;;7,00;;4,00;;4,00;;;"•";7,00;;7,00;;6,00;;0,00;;0,00;;"8";7,00;;"4";4,00;;"•";7,00;;"7";6,00;;"0";0,00;;1529
"Silene noctiflora";"Silene noctiflora L.";;"1261";7,00;;7,00;;3,00;;4,00;;8,00;;7,00;;5,00;;6,00;;0,00;;0,00;;"7";7,00;;"3";4,00;;"8";7,00;;"5";6,00;;"0";0,00;;1530
"Silene nutans";"Silene nutans L.";;"1928";7,00;;8,00;;3,00;;3,00;;7,00;;8,00;;3,00;;4,00;;0,00;;0,00;;"7";8,00;;"3";3,00;;"7";8,00;;"3";4,00;;"0";0,00;;1531
"Silene otites";"Silene otites (L.) Wibel";;"1929";8,00;;8,00;;2,00;;3,00;;7,00;;7,00;"+";2,00;;2,00;;0,00;;0,00;;"8";8,00;;"2";3,00;;"7";7,00;"+";"2";2,00;;"0";0,00;;1532
"Silene uniflora";"Silene vulgaris (Moench) Garcke subsp. maritima (With.) Á. et D. Löve";;"1926";9,00;;8,00;;5,00;;6,00;;8,00;;6,00;"!";2,00;;4,00;"!";0,00;;3,00;"+";"9";8,00;;"5";6,00;;"8";6,00;"7";"2";4,00;"7";"0";3,00;"+";1533
"Silene vulgaris";"Silene vulgaris (Moench) Garcke";;"1923";8,00;;7,00;;4,00;;4,00;;7,00;;8,00;;4,00;;5,00;"+";0,00;;0,00;;"8";7,00;;"4";4,00;;"7";8,00;;"4";5,00;"+";"0";0,00;;1534
"Silybum marianum";"Silybum marianum (L.) Gaertn.";1,00;"1930";;"–";8,00;"+";;"–";4,00;"+";;"–";8,00;"+";;"–";6,00;"+";;"–";1,00;"+";"–";8,00;"+";"–";4,00;"+";"–";8,00;"+";"–";6,00;"+";"–";1,00;"+";1535
"Simethis planifolia";;4,00;"1931";;"–";7,00;"+";;"–";5,00;"+";;"–";4,00;"+";;"–";3,00;"+";;"–";0,00;;"–";7,00;"+";"–";5,00;"+";"–";4,00;"+";"–";3,00;"+";"–";0,00;;1536
"Sinapis alba";"Sinapis alba L.";1,00;"1932";;"–";7,00;;;"–";4,00;;;"–";7,00;;;"–";6,00;;;"–";0,00;;"–";7,00;;"–";4,00;;"–";7,00;;"–";6,00;;"–";0,00;;1537
"Sinapis arvensis";"Sinapis arvensis L.";;"1933";;"–";8,00;"+";;"–";5,00;;;"–";7,00;;;"–";7,00;;;"–";0,00;;"–";8,00;"+";"–";5,00;;"–";7,00;;"–";7,00;;"–";0,00;;1538
"Sison amomum";"Sison amomum L.";;"1934";;"–";7,00;;;"–";4,00;;;"–";7,00;;;"–";5,00;"+";;"–";0,00;;"–";7,00;;"–";4,00;;"–";7,00;;"–";5,00;"+";"–";0,00;;1539
"Sisymbrium altissimum";"Sisymbrium altissimum L.";1,00;"1935";8,00;;8,00;;4,00;;5,00;;7,00;;6,00;;4,00;;4,00;;0,00;;0,00;"+";"8";8,00;;"4";5,00;;"7";6,00;;"4";4,00;;"0";0,00;"+";1540
"Sisymbrium officinale";"Sisymbrium officinale (L.) Scop.";;"1938";8,00;;7,00;;4,00;;4,00;;;"•";7,00;;7,00;;7,00;;0,00;;0,00;;"8";7,00;;"4";4,00;;"•";7,00;;"7";7,00;;"0";0,00;;1541
"Sisymbrium orientale";"Sisymbrium orientale L.";1,00;"1939";;"–";7,00;;;"–";4,00;"+";;"–";7,00;;;"–";5,00;;;"–";0,00;;"–";7,00;;"–";4,00;"+";"–";7,00;;"–";5,00;;"–";0,00;;1542
"Sisyrinchium bermudiana";;4,00;"1942";;"–";8,00;"+";;"–";8,00;"+";;"–";6,00;"+";;"–";3,00;"+";;"–";0,00;;"–";8,00;"+";"–";8,00;"+";"–";6,00;"+";"–";3,00;"+";"–";0,00;;1543
"Sium latifolium";"Sium latifolium L.";;"1944";7,00;;7,00;;10,00;;10,00;"+";7,00;;7,00;;7,00;;7,00;"+";0,00;;0,00;;"7";7,00;;"10";1,00;"+";"7";7,00;;"7";7,00;"+";"0";0,00;;1544
"Smyrnium olusatrum";;1,00;"1945";;"–";7,00;;;"–";5,00;;;"–";7,00;;;"–";7,00;;;"–";0,00;;"–";7,00;;"–";5,00;;"–";7,00;;"–";7,00;;"–";0,00;;1545
"Solanum dulcamara";"Solanum dulcamara L.";;"1947";7,00;;7,00;;8,00;;8,00;;;"•";7,00;;8,00;;7,00;"+";0,00;;0,00;;"7";7,00;;"8";8,00;;"•";7,00;;"8";7,00;"+";"0";0,00;;1546
"Solanum nigrum";"Solanum nigrum L.";;"1949";7,00;;7,00;;5,00;;5,00;;7,00;;7,00;;8,00;;8,00;"+";0,00;;0,00;;"7";7,00;;"5";5,00;;"7";7,00;;"8";8,00;"+";"0";0,00;;1547
"Solanum sarachoides";"Solanum sarachoides Sendtn.";1,00;"1946";8,00;;7,00;;3,00;;4,00;;7,00;;7,00;;5,00;;7,00;"!";0,00;;0,00;;"8";7,00;;"3";4,00;;"7";7,00;;"5";7,00;"7";"0";0,00;;1548
"Solanum tuberosum";"Solanum tuberosum L.";1,00;"4360";;"–";7,00;;;"–";4,00;;;"–";6,00;"+";;"–";7,00;;;"–";0,00;;"–";7,00;;"–";4,00;;"–";6,00;"+";"–";7,00;;"–";0,00;;1549
"Soleirolia soleirolii";"Soleirolia soleirolii (Req.) Dandy";1,00;"965";;"–";4,00;"+";;"–";8,00;"+";;"–";7,00;"+";;"–";6,00;"+";;"–";0,00;;"–";4,00;"+";"–";8,00;"+";"–";7,00;"+";"–";6,00;"+";"–";0,00;;1550
"Solidago canadensis";"Solidago canadensis L.";1,00;"2251";8,00;;8,00;;;"•";5,00;;;"•";6,00;"+";6,00;;6,00;"+";0,00;;0,00;;"8";8,00;;"•";5,00;;"•";6,00;"+";"6";6,00;"+";"0";0,00;;1551
"Solidago gigantea";"Solidago gigantea Ait.";1,00;"2434";8,00;;8,00;"°";6,00;;5,00;"+";;"•";5,00;"+";7,00;;6,00;"+";;"•";0,00;;"8";8,00;"3";"6";5,00;"+";"•";5,00;"+";"7";6,00;"+";"•";0,00;;1552
"Solidago virgaurea";"Solidago virgaurea L.";;"1951";5,00;;5,00;;5,00;;5,00;;;"•";4,00;;4,00;;3,00;;0,00;;0,00;;"5";5,00;;"5";5,00;;"•";4,00;;"4";3,00;;"0";0,00;;1553
"Sonchus arvensis";"Sonchus arvensis L.";;"1952";7,00;;8,00;;5,00;;6,00;;7,00;;7,00;;;"•";6,00;;1,00;;1,00;;"7";8,00;;"5";6,00;;"7";7,00;;"•";6,00;;"1";1,00;;1554
"Sonchus asper";"Sonchus asper (L.) Hill";;"1953";7,00;;7,00;;6,00;;5,00;;7,00;;7,00;;7,00;;6,00;;1,00;;0,00;;"7";7,00;;"6";5,00;;"7";7,00;;"7";6,00;;"1";0,00;;1555
"Sonchus oleraceus";"Sonchus oleraceus L.";;"1954";7,00;;7,00;;4,00;;5,00;;8,00;;7,00;;8,00;;7,00;"+";0,00;;0,00;;"7";7,00;;"4";5,00;;"8";7,00;;"8";7,00;"+";"0";0,00;;1556
"Sonchus palustris";"Sonchus palustris L.";;"1955";7,00;;7,00;"+";8,00;;8,00;"+";7,00;;7,00;;7,00;;7,00;"+";1,00;;1,00;"+";"7";7,00;"+";"8";8,00;"+";"7";7,00;;"7";7,00;"+";"1";1,00;"+";1557
"Sorbus anglica";;3,00;"1956";;"–";6,00;"+";;"–";4,00;"+";;"–";8,00;"+";;"–";4,00;"+";;"–";0,00;;"–";6,00;"+";"–";4,00;"+";"–";8,00;"+";"–";4,00;"+";"–";0,00;;1558
"Sorbus aria";"Sorbus aria (L.) Crantz";;"1958";6,00;;6,00;"+";4,00;;4,00;;7,00;;7,00;"+";3,00;;4,00;;0,00;;0,00;;"6";6,00;"+";"4";4,00;;"7";7,00;"+";"3";4,00;;"0";0,00;;1559
"Sorbus arranensis";;3,00;"1959";;"–";7,00;"+";;"–";4,00;"+";;"–";4,00;"+";;"–";3,00;"+";;"–";0,00;;"–";7,00;"+";"–";4,00;"+";"–";4,00;"+";"–";3,00;"+";"–";0,00;;1560
"Sorbus aucuparia";"Sorbus aucuparia L.";;"1960";6,00;;6,00;"+";;"•";6,00;;4,00;;3,00;;;"•";4,00;;0,00;;0,00;;"6";6,00;"+";"•";6,00;;"4";3,00;;"•";4,00;;"0";0,00;;1561
"Sorbus bristoliensis";;3,00;"1961";;"–";6,00;"+";;"–";4,00;"+";;"–";8,00;"+";;"–";4,00;"+";;"–";0,00;;"–";6,00;"+";"–";4,00;"+";"–";8,00;"+";"–";4,00;"+";"–";0,00;;1562
"Sorbus devoniensis";;3,00;"1962";;"–";6,00;"+";;"–";5,00;"+";;"–";6,00;"+";;"–";5,00;"+";;"–";0,00;;"–";6,00;"+";"–";5,00;"+";"–";6,00;"+";"–";5,00;"+";"–";0,00;;1563
"Sorbus domestica";"Sorbus domestica L.";;"1963";4,00;;6,00;"+";4,00;;4,00;"°";8,00;;8,00;"°";3,00;;3,00;"°";0,00;;0,00;"°";"4";6,00;"+";"4";4,00;"3";"8";8,00;"3";"3";3,00;"3";"0";0,00;"3";1564
"Sorbus eminens";;3,00;"1964";;"–";6,00;"+";;"–";5,00;"+";;"–";7,00;"+";;"–";5,00;"+";;"–";0,00;;"–";6,00;"+";"–";5,00;"+";"–";7,00;"+";"–";5,00;"+";"–";0,00;;1565
"Sorbus hibernica";;3,00;"1965";;"–";6,00;"+";;"–";5,00;"+";;"–";7,00;"+";;"–";5,00;"+";;"–";0,00;;"–";6,00;"+";"–";5,00;"+";"–";7,00;"+";"–";5,00;"+";"–";0,00;;1566
"Sorbus intermedia";"Sorbus intermedia (Ehrh.) Pers.";1,00;"1966";6,00;;6,00;;;"•";6,00;;;"•";8,00;;;"•";7,00;"+";0,00;;0,00;;"6";6,00;;"•";6,00;;"•";8,00;;"•";7,00;"+";"0";0,00;;1567
"Sorbus lancastriensis";;3,00;"1967";;"–";8,00;"+";;"–";4,00;"+";;"–";7,00;"+";;"–";3,00;"+";;"–";0,00;;"–";8,00;"+";"–";4,00;"+";"–";7,00;"+";"–";3,00;"+";"–";0,00;;1568
"Sorbus leptophylla";;3,00;"1969";;"–";5,00;"+";;"–";5,00;"+";;"–";7,00;"+";;"–";5,00;"+";;"–";0,00;;"–";5,00;"+";"–";5,00;"+";"–";7,00;"+";"–";5,00;"+";"–";0,00;;1569
"Sorbus leyana";;3,00;"1970";;"–";7,00;"+";;"–";5,00;"+";;"–";8,00;"+";;"–";4,00;"+";;"–";0,00;;"–";7,00;"+";"–";5,00;"+";"–";8,00;"+";"–";4,00;"+";"–";0,00;;1570
"Sorbus minima";;3,00;"1971";;"–";6,00;"+";;"–";4,00;"+";;"–";8,00;"+";;"–";3,00;"+";;"–";0,00;;"–";6,00;"+";"–";4,00;"+";"–";8,00;"+";"–";3,00;"+";"–";0,00;;1571
"Sorbus porrigentiformis";;3,00;"1972";;"–";7,00;"+";;"–";5,00;"+";;"–";7,00;"+";;"–";5,00;"+";;"–";0,00;;"–";7,00;"+";"–";5,00;"+";"–";7,00;"+";"–";5,00;"+";"–";0,00;;1572
"Sorbus pseudofennica";;3,00;"1973";;"–";7,00;"+";;"–";4,00;"+";;"–";4,00;"+";;"–";3,00;"+";;"–";0,00;;"–";7,00;"+";"–";4,00;"+";"–";4,00;"+";"–";3,00;"+";"–";0,00;;1573
"Sorbus rupicola";;;"1974";;"–";8,00;"+";;"–";4,00;"+";;"–";7,00;"+";;"–";3,00;"+";;"–";0,00;;"–";8,00;"+";"–";4,00;"+";"–";7,00;"+";"–";3,00;"+";"–";0,00;;1574
"Sorbus subcuneata";;3,00;"1976";;"–";6,00;"+";;"–";5,00;"+";;"–";4,00;"+";;"–";4,00;"+";;"–";0,00;;"–";6,00;"+";"–";5,00;"+";"–";4,00;"+";"–";4,00;"+";"–";0,00;;1575
"Sorbus torminalis";"Sorbus torminalis (L.) Crantz";;"1977";4,00;;4,00;;4,00;;5,00;;7,00;;6,00;"+";4,00;;5,00;"+";0,00;;0,00;;"4";4,00;;"4";5,00;;"7";6,00;"+";"4";5,00;"+";"0";0,00;;1576
"Sorbus vexans";;3,00;"1979";;"–";6,00;"+";;"–";5,00;"+";;"–";4,00;"+";;"–";4,00;"+";;"–";0,00;;"–";6,00;"+";"–";5,00;"+";"–";4,00;"+";"–";4,00;"+";"–";0,00;;1577
"Sorbus wilmottiana";;3,00;"2272";;"–";6,00;"+";;"–";4,00;"+";;"–";8,00;"+";;"–";3,00;"+";;"–";0,00;;"–";6,00;"+";"–";4,00;"+";"–";8,00;"+";"–";3,00;"+";"–";0,00;;1578
"Sparganium angustifolium";"Sparganium angustifolium Michaux";;"1980";8,00;;8,00;"+";11,00;;11,00;"*";3,00;;4,00;"+";1,00;;2,00;"+";0,00;;0,00;;"8";8,00;"+";"11";1,00;"1";"3";4,00;"+";"1";2,00;"+";"0";0,00;;1579
"Sparganium emersum";"Sparganium emersum Rehm.";;"1983";7,00;;7,00;;10,00;;10,00;"*";6,00;;7,00;;7,00;;6,00;;0,00;;0,00;"+";"7";7,00;;"10";1,00;"1";"6";7,00;;"7";6,00;;"0";0,00;"+";1580
"Sparganium erectum";"Sparganium erectum L.";;"1981";7,00;;7,00;;10,00;;10,00;"+";7,00;;7,00;;7,00;;7,00;;0,00;;0,00;;"7";7,00;;"10";1,00;"+";"7";7,00;;"7";7,00;;"0";0,00;;1581
"Sparganium natans";"Sparganium natans L.";;"1982";7,00;;7,00;;11,00;;11,00;"*";5,00;;6,00;;3,00;;3,00;;0,00;;0,00;;"7";7,00;;"11";1,00;"1";"5";6,00;;"3";3,00;;"0";0,00;;1582
"Spartina alterniflora";"Spartina alterniflora Loisel.";1,00;"1984";;"–";9,00;"+";;"–";10,00;"*";;"–";8,00;"+";;"–";7,00;;;"–";7,00;"+";"–";9,00;"+";"–";1,00;"0";"–";8,00;"+";"–";7,00;;"–";7,00;"+";1583
"Spartina anglica";"Spartina townsendii H. et J. Groves var. anglica (C.E. Hubbard) Lambinon et Maquet";3,00;"2278";;"–";9,00;;;"–";9,00;;;"–";8,00;;;"–";6,00;;;"–";7,00;"+";"–";9,00;;"–";9,00;;"–";8,00;;"–";6,00;;"–";7,00;"+";1584
